SMILES,Tm(deg C) EXP,Tm(K) EXP,
CC([N+]([O-])=O)([N+]([O-])=O)CN([N+]([O-])=O)CCC([N+]([O-])=O)([N+]([O-])=O)CCN([N+]([O-])=O)CC([N+]([O-])=O)([N+]([O-])=O)C,207,480.15,
CC([N+]([O-])=O)([N+]([O-])=O)CCN([N+]([O-])=O)CC([N+]([O-])=O)([N+]([O-])=O)CN([N+]([O-])=O)CCC([N+]([O-])=O)([N+]([O-])=O)C,138,411.15,
O=C(N([N+]([O-])=O)CCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)OCC#CCOC(N([N+]([O-])=O)CCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O,115.5,388.65,
O=C(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)N([N+]([O-])=O)CCN([N+]([O-])=O)CCN([N+]([O-])=O)CCN([N+]([O-])=O)C(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O,127.5,400.65,
O=[N+]([O-])N(CC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)CCC([N+]([O-])=O)([N+]([O-])=O)CN([N+]([O-])=O)CC([N+]([O-])=O)([N+]([O-])=O)CCN([N+]([O-])=O)CC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,186.5,459.65,
CC([N+]([O-])=O)([N+]([O-])=O)CCN([N+]([O-])=O)C(OCC([N+]([O-])=O)([N+]([O-])=O)COC(N([N+]([O-])=O)CCC([N+]([O-])=O)([N+]([O-])=O)C)=O)=O,117.5,390.65,
C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],13,286.15,nitrate_ester
C(C(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-])O[N+](=O)[O-],140,413.15,
CC([N+]([O-])=O)([N+]([O-])=O)CN([N+]([O-])=O)CCO[N+]([O-])=O,117.5,390.65,
C(N(CN(CO[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])N(CN(CO[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],202,475.15,
O=[N+]([O-])OCCCC([N+]([O-])=O)([N+]([O-])=O)CN([N+]([O-])=O)CC([N+]([O-])=O)([N+]([O-])=O)CCCO[N+]([O-])=O,134,407.15,
C1=C(ON=C1[N+](=O)[O-])[N+](=O)[O-],52,325.15,nitroheterocyclic
C1=C(C=C(C(=C1[N+](=O)[O-])NC2=NNN=N2)[N+](=O)[O-])[N+](=O)[O-],224,497.15,
C1C(CN(CC1([N+](=O)[O-])[N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],165.5,438.65,
C1C(CN(CC1([N+](=O)[O-])[N+](=O)[O-])CCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],143,416.15,
C1=C(C=C(C(=C1[N+](=O)[O-])C2=NC(=NC(=N2)C3=C(C=C(C=C3[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])C4=C(C=C(C=C4[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],352.5,625.65,
